 x	DSM	TSM	
0.0756	0.999796	0.000204176	
0.0757	0.999796	0.000204364	
0.0758	0.999795	0.000204552	
0.0759	0.999795	0.00020474	
0.076	0.999795	0.000204928	
0.0761	0.999795	0.000205116	
0.0762	0.999795	0.000205305	
0.0763	0.999795	0.000205494	
0.0764	0.999794	0.000205683	
0.0765	0.999794	0.000205872	
0.0766	0.999794	0.000206061	
0.0767	0.999794	0.00020625	
0.0768	0.999794	0.00020644	
0.0769	0.999793	0.00020663	
0.077	0.999793	0.00020682	
0.0771	0.999793	0.00020701	
0.0772	0.999793	0.0002072	
0.0773	0.999793	0.000207391	
0.0774	0.999792	0.000207581	
0.0775	0.999792	0.000207772	
0.0776	0.999792	0.000207963	
0.0777	0.999792	0.000208154	
0.0778	0.999792	0.000208346	
0.0779	0.999791	0.000208537	
0.078	0.999791	0.000208729	
0.0781	0.999791	0.000208921	
0.0782	0.999791	0.000209113	
0.0783	0.999791	0.000209305	
0.0784	0.999791	0.000209498	
0.0785	0.99979	0.00020969	
0.0786	0.99979	0.000209883	
0.0787	0.99979	0.000210076	
0.0788	0.99979	0.000210269	
0.0789	0.99979	0.000210462	
0.079	0.999789	0.000210656	
0.0791	0.999789	0.00021085	
0.0792	0.999789	0.000211043	
0.0793	0.999789	0.000211238	
0.0794	0.999789	0.000211432	
0.0795	0.999788	0.000211626	
0.0796	0.999788	0.000211821	
0.0797	0.999788	0.000212015	
0.0798	0.999788	0.00021221	
0.0799	0.999788	0.000212405	
0.08	0.999787	0.000212601	
0.0801	0.999787	0.000212796	
0.0802	0.999787	0.000212992	
0.0803	0.999787	0.000213188	
0.0804	0.999787	0.000213384	
0.0805	0.999786	0.00021358	
0.0806	0.999786	0.000213776	
0.0807	0.999786	0.000213973	
0.0808	0.999786	0.000214169	
0.0809	0.999786	0.000214366	
0.081	0.999785	0.000214563	
0.0811	0.999785	0.000214761	
0.0812	0.999785	0.000214958	
0.0813	0.999785	0.000215156	
0.0814	0.999785	0.000215353	
0.0815	0.999784	0.000215551	
0.0816	0.999784	0.00021575	
0.0817	0.999784	0.000215948	
0.0818	0.999784	0.000216146	
0.0819	0.999784	0.000216345	
0.082	0.999783	0.000216544	
0.0821	0.999783	0.000216743	
0.0822	0.999783	0.000216942	
0.0823	0.999783	0.000217142	
